
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Secure System                  140 Services                   0     32,236 K
Registry                       180 Services                   0     50,332 K
smss.exe                       636 Services                   0         56 K
csrss.exe                      544 Services                   0      3,196 K
wininit.exe                   1028 Services                   0        176 K
csrss.exe                     1040 Console                    1      2,708 K
winlogon.exe                  1132 Console                    1        716 K
services.exe                  1152 Services                   0      6,180 K
LsaIso.exe                    1188 Services                   0        756 K
lsass.exe                     1216 Services                   0     14,004 K
svchost.exe                   1352 Services                   0     20,832 K
fontdrvhost.exe               1364 Console                    1      1,000 K
fontdrvhost.exe               1372 Services                   0        292 K
WUDFHost.exe                  1428 Services                   0        236 K
svchost.exe                   1540 Services                   0     12,152 K
svchost.exe                   1584 Services                   0      3,600 K
svchost.exe                   1684 Services                   0        520 K
svchost.exe                   1764 Services                   0      1,584 K
dwm.exe                       1808 Console                    1     56,680 K
svchost.exe                   1888 Services                   0      5,176 K
svchost.exe                   1924 Services                   0      1,920 K
svchost.exe                   1968 Services                   0      5,836 K
svchost.exe                   1668 Services                   0        668 K
svchost.exe                    820 Services                   0      6,764 K
svchost.exe                   2096 Services                   0     35,932 K
svchost.exe                   2160 Services                   0      3,744 K
svchost.exe                   2188 Services                   0      5,116 K
svchost.exe                   2216 Services                   0      2,408 K
svchost.exe                   2292 Services                   0      3,516 K
svchost.exe                   2336 Services                   0      3,244 K
svchost.exe                   2436 Services                   0      7,668 K
svchost.exe                   2500 Services                   0     11,220 K
svchost.exe                   2552 Services                   0     14,956 K
wlanext.exe                   2664 Services                   0        192 K
svchost.exe                   2768 Services                   0      9,184 K
svchost.exe                   2776 Services                   0      1,076 K
svchost.exe                   2784 Services                   0      7,688 K
svchost.exe                   2836 Services                   0      5,184 K
svchost.exe                   2872 Services                   0      3,560 K
IntelCpHDCPSvc.exe            3036 Services                   0        172 K
svchost.exe                   2316 Services                   0        680 K
svchost.exe                   3100 Services                   0        308 K
svchost.exe                   3276 Services                   0      2,812 K
svchost.exe                   3588 Services                   0      7,760 K
svchost.exe                   3624 Services                   0      4,568 K
svchost.exe                   3632 Services                   0      1,360 K
svchost.exe                   3640 Services                   0      6,172 K
Memory Compression            3760 Services                   0    210,228 K
svchost.exe                   3804 Services                   0        720 K
igfxCUIServiceN.exe           3836 Services                   0      1,156 K
svchost.exe                   3844 Services                   0        788 K
svchost.exe                   3896 Services                   0      3,780 K
svchost.exe                   3952 Services                   0        640 K
svchost.exe                   4008 Services                   0      2,920 K
svchost.exe                   4064 Services                   0     14,276 K
svchost.exe                   4072 Services                   0        960 K
spoolsv.exe                   4100 Services                   0      2,972 K
svchost.exe                   4164 Services                   0      2,548 K
ACCSvc.exe                    4280 Services                   0        244 K
IgoAudioService_x64.exe       4296 Services                   0      1,400 K
svchost.exe                   4312 Services                   0      5,252 K
svchost.exe                   4320 Services                   0     12,000 K
OneApp.IGCC.WinService.ex     4304 Services                   0      4,520 K
armsvc.exe                    4328 Services                   0        196 K
GoogleInputService.exe        4344 Services                   0      2,108 K
IntelAudioService.exe         4364 Services                   0      1,520 K
jhi_service.exe               4392 Services                   0        268 K
svchost.exe                   4400 Services                   0        856 K
svchost.exe                   4440 Services                   0      2,064 K
NortonSecurity.exe            4544 Services                   0     48,184 K
nsWscSvc.exe                  4572 Services                   0        348 K
rsDNSClientSvc.exe            4640 Services                   0        184 K
rsDNSResolver.exe             4648 Services                   0        520 K
OfficeClickToRun.exe          4656 Services                   0     33,208 K
rsVPNClientSvc.exe            4664 Services                   0        268 K
rsSyncSvc.exe                 4672 Services                   0      1,840 K
RstMwService.exe              4696 Services                   0        300 K
RtkAudUService64.exe          4716 Services                   0        916 K
sqlwriter.exe                 4820 Services                   0        280 K
svchost.exe                   4860 Services                   0        188 K
MpDefenderCoreService.exe     4900 Services                   0      3,792 K
rsClientSvc.exe               4908 Services                   0        224 K
svchost.exe                   4988 Services                   0     15,100 K
nessus-service.exe            5072 Services                   0        188 K
rsEDRSvc.exe                  5088 Services                   0      5,384 K
