Product,City,Quantity,Price,Total
Headphones,Miami,173,865.08246483913,149659.26641716948
Phone,Chicago,218,517.4003926002495,112793.28558685438
Headphones,Miami,230,295.19726871776913,67895.3718050869
Keyboard,Houston,226,325.93252446556363,73660.75052921737
Keyboard,New York,131,721.6178371704709,94531.93666933168
Keyboard,Los Angeles,322,103.12604988954983,33206.58806443505
Laptop,Los Angeles,19,932.268368586705,17713.099003147396
Headphones,New York,462,21.04508829709621,9722.830793258448
Keyboard,New York,169,79.62417666851859,13456.485856979642
Tablet,New York,48,518.2824030828223,24877.555347975467
